zipcode,inspection_count,wellness_score
11203,11501,54.65799329785137
11204,12297,51.51981076286221
11205,7052,72.19791050660358
11206,8814,65.25133057362507
11207,13395,47.19101123595506
11208,11483,54.72895722452198
11209,9714,61.70313424009461
11210,8757,65.47604967474867
11211,11140,56.08121427163414
11212,6695,73.60536171890399
11213,6001,76.34141533609305
11214,12664,50.072935146855905
11215,14112,44.36428149024246
11216,8090,68.1056574019318
11217,7300,71.22018529469743
11218,8833,65.17642420658387
11219,12534,50.585452395032526
11220,10833,57.291543465405084
11221,11064,56.38083973979894
11222,8301,67.27380248373743
11223,11903,53.07313226887443
11224,4727,81.36408436822393
11225,5095,79.91326631184702
11226,6657,73.75517445298641
11227,3,99.98817267888823
11228,8440,66.7258032722255
11229,14123,44.320914646165974
11230,9790,61.40350877192983
11231,7606,70.01379854129706
11232,3788,85.06603587620737
11233,9245,63.55213877390105
11234,20167,20.49280504632367
11235,13381,47.24620540114331
11236,15912,37.26788882318155
11237,5297,79.11689335698797
11238,9173,63.83599448058348
11239,791,96.88152966686378
11241,1,99.99605755962942
11242,2,99.99211511925881
11243,194,99.23516656810565
11249,7319,71.14527892765622
11251,2,99.99211511925881
11347,1,99.99605755962942
11351,2,99.99211511925881
11354,13066,48.488074117878966
11355,14158,44.182929233195345
11356,5656,77.70155726394638
11357,10041,60.41395623891188
11358,9092,64.15533215060123
11359,1,99.99605755962942
11360,4503,82.24719101123596
11361,6744,73.41218214074512
11362,4157,83.61127537945988
11363,2061,91.87463039621527
11364,6677,73.67632564557461
11365,7504,70.41592745909718
11366,3934,84.49043958210132
11367,5894,76.7632564557461
11368,9852,61.159077468953285
11369,5371,78.82515276956437
11370,5172,79.60969840331164
11371,2,99.99211511925881
11372,3906,84.60082791247783
11373,10635,58.07214665878179
11374,6063,76.0969840331165
11375,8883,64.9793021880544
11377,9991,60.61107825744136
11378,8226,67.56948551153164
11379,9248,63.540311452789275
11385,15314,39.62546816479401
11411,5341,78.94342598068205
11412,8727,65.59432288586635
11413,9825,61.26552335895919
11414,6815,73.13226887443327
11415,1916,92.44628424995072
11416,3938,84.47466982061897
11417,6157,75.7263946382811
11418,5749,77.33491030948156
11419,7637,69.89158288980879
11420,9355,63.11847033313621
11421,6344,74.98915828898087
11422,6791,73.22688744332741
11423,5235,79.36132465996451
11424,2,99.99211511925881
11426,4436,82.51133451606545
11427,4216,83.37867139759511
11428,4345,82.87009658978907
11429,5694,77.55174452986398
11430,19,99.9250936329588
11432,7401,70.8219988172679
11433,6440,74.6106840134043
11434,10720,57.737039227281684
11435,6581,74.05479992115119
11436,4401,82.64931992903608
11516,2,99.99211511925881
11550,1,99.99605755962942
11691,7126,71.90616991917997
11692,2519,90.06899270648532
11693,2369,90.66035876207373
11694,4494,82.28267297457126
11695,7,99.97240291740587
11696,3,99.98817267888823
11697,10,99.9605755962941
12345,4,99.98423023851764
